FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
EZWT4YWMCRR1,Foreign_Exchange Forward JPY NZD 20210116,JFTXFP,FALSE,NZD,2138004TYNQCB7MLTG76
EZXBVTJW1075,Foreign_Exchange Forward SGD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZXGZ2KHBX52,Foreign_Exchange Forward GBP SEK 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZYG6HFBB339,Rates Swap Fixed_Float 1 YEAR EUR-EURIBOR-Reuters 6 MNTH 20210116,SRCCSP,FALSE,EUR,724500D4BFEWKWVC1G62
EZYQMYM1GGL7,Rates Swap Fixed_Float_OIS 2 MNTH EUR-EONIA-OIS-COMPOUND 1 DAYS 20210116,SRHCSP,FALSE,EUR,254900QBKK4WBSO3GE51
EZYQMYM1GGL7,EUR SWAP EONIA 2MO,SRHCSP,FALSE,EUR,254900QBKK4WBSO3GE51
EZYQMYM1GGL7,Rates Swap Fixed_Float_OIS 2 MNTH EUR-EONIA-OIS-COMPOUND 1 DAYS 20210116,SRHCSP,FALSE,EUR,254900QBKK4WBSO3GE51
EZYQMYM1GGL7,Rates Swap Fixed_Float_OIS 2 MNTH EUR-EONIA-OIS-COMPOUND 1 DAYS 20210116,SRHCSP,FALSE,EUR,254900QBKK4WBSO3GE51
EZZ2V0YNH1L1,Rates Swap Fixed_Float_OIS 3 MNTH USD-Federal Funds-H.15-OIS-COMPOUND 1 DAYS 20210116,SRHCSP,FALSE,USD,529900MLKOEV3XDRCP63
USG0732RAF58,BRADES 5.9 01/16/21 BOND,DBFUGR,FALSE,USD,549300CTUU1RFXHQJE44
XS1720053229,RACE 0  1/4  01/16/21 BOND,DBFNBB,FALSE,EUR,549300RIVY5EX8RCON76
XS1720053229,RACE 0  1/4  01/16/21 BOND,DBFNBB,FALSE,EUR,549300RIVY5EX8RCON76
XS1720053229,RACE   0.250 01/16/21,DBFNBB,FALSE,EUR,549300RIVY5EX8RCON76
XS1720053229,"FERRARI N.V. EUR 500,000,000 0.250 per cent. Notes due 16 January 2021		",DBFNBB,FALSE,EUR,549300RIVY5EX8RCON76
XS2065108206,CREDIT SUISSE SECURITIES JAPAN LTD 1052 S185338EN,DEXXRS,FALSE,USD,O2RNE8IBXP4R0TD8PU41
XS2065108545,CREDIT SUISSE SECURITIES JAPAN LTD 1051 S185335EN,DEXXRS,FALSE,USD,O2RNE8IBXP4R0TD8PU41
XS2065111762,12M ENHANCED BONUS NOTE ON WO 3188.HK 2822.HK S185300EN,DEXXRS,FALSE,USD,O2RNE8IBXP4R0TD8PU41
XS2094512394,"WELLESLEY SECURED FINANCE PLC Issue of GBP 297,000 Sterling denominated 3% Series 46 Notes Due 2021",DTFXFR,FALSE,GBP,213800WG2NSLXS313U79
XS2103230749,"STANDARD CHARTERED BANK Issue of USD 3,000,000 Synthetic Currency Linked Notes due 2021",DTFUFB,FALSE,USD,RILFO74KP1CM8P6PCT96
EZ1NQL0L7467,Foreign_Exchange Forward JOD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ1QJ80R18F1,Foreign_Exchange Forward GBP ZAR 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ1QQN22LK04,Foreign_Exchange Forward EUR MXN 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ22PNHYCJG4,Foreign_Exchange Forward BHD GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ257N66VMJ1,Foreign_Exchange Forward GBP JPY 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ2B9ZH2YLM2,Foreign_Exchange Forward THB USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ2F0Q6Y23L1,Foreign_Exchange Forward EUR NZD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ2KCQK404Q2,Foreign_Exchange Forward JPY MXN 20210116,JFTXFP,FALSE,MXN,2138004TYNQCB7MLTG76
EZ2N6JNK8Z30,Foreign_Exchange Forward CNY SGD 20210116,JFTXFP,FALSE,SGD,2138004TYNQCB7MLTG76
EZ2VGJ6M2X09,Foreign_Exchange Forward MXN SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ2W5B2J0QH9,Foreign_Exchange Forward NOK SEK 20210116,JFTXFP,FALSE,NOK,2138004TYNQCB7MLTG76
EZ2Z6TS454M7,Foreign_Exchange Forward GBP NZD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ336SPCZ968,Foreign_Exchange Forward SEK SGD 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ36PV5X3WM0,Foreign_Exchange Forward RON SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ3740SKL570,Foreign_Exchange Forward GBP ILS 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ37QS2XP010,Foreign_Exchange Forward EUR THB 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ3D4N0FYMN2,Foreign_Exchange Forward AUD JPY 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ3DLZFC2J51,Foreign_Exchange Forward OMR USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ3Q2HH3WGL1,Foreign_Exchange Forward CHF NOK 20210116,JFTXFP,FALSE,CHF,2138004TYNQCB7MLTG76
EZ3QG804P3C6,Foreign_Exchange Forward JPY NOK 20210116,JFTXFP,FALSE,NOK,2138004TYNQCB7MLTG76
EZ3RJRC49NB4,Foreign_Exchange Forward AUD CNY 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ3RTD3CG4B6,Foreign_Exchange Forward AED USD 20210116,JFTXFP,FALSE,AED,2138004TYNQCB7MLTG76
EZ3W89JL7769,Foreign_Exchange Forward EUR PLN 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ41GVCL9662,Foreign_Exchange Forward GBP HKD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ42PS2BQSR4,Foreign_Exchange Forward CHF JPY 20210116,JFTXFP,FALSE,CHF,2138004TYNQCB7MLTG76
EZ45CLCC4H26,Foreign_Exchange Forward GBP QAR 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ45N7JX6F48,Foreign_Exchange Forward JPY THB 20210116,JFTXFP,FALSE,THB,2138004TYNQCB7MLTG76
EZ47ZZMGYW12,Foreign_Exchange Forward SAR USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ48M8YPKGJ4,Foreign_Exchange Forward CNY USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ48Y7CJHPL4,Foreign_Exchange Forward EUR OMR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ4DKF13WL17,Foreign_Exchange Forward GBP PLN 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ4DRCYSJ4V7,Foreign_Exchange Forward AUD USD 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ4P3BJNDSR4,Foreign_Exchange Forward EUR JPY 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ4X5MWK3RS1,Foreign_Exchange Forward EUR JOD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ568QJ17N79,Foreign_Exchange Forward EUR ZAR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5BY0GKNVC5,Foreign_Exchange Forward AUD EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5L2L1QRHL7,Foreign_Exchange Forward CNY HKD 20210116,JFTXFP,FALSE,CNY,2138004TYNQCB7MLTG76
EZ5P65LDW3V6,Foreign_Exchange Forward ILS SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ5PCRW2X6T5,Foreign_Exchange Forward CNY EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5R1MRFLRC8,Foreign_Exchange Forward GBP JOD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ5S3X0L73P1,Foreign_Exchange Forward GBP SGD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ5SYSC6NL75,Foreign_Exchange Forward DKK SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ5V5CP0M821,Foreign_Exchange Forward BHD EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5Y05VDFR80,Foreign_Exchange Forward EUR TRY 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5Y8932Z896,Foreign_Exchange Forward EUR SGD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ5ZJPNDZ7W6,Foreign_Exchange Forward JPY TRY 20210116,JFTXFP,FALSE,TRY,2138004TYNQCB7MLTG76
EZ68SVSSD468,Foreign_Exchange Forward AUD CHF 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ69D2VLWX38,Foreign_Exchange Forward CAD JPY 20210116,JFTXFP,FALSE,CAD,2138004TYNQCB7MLTG76
EZ6D6V5ZWQ87,Foreign_Exchange Forward SEK USD 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ6K94MTLKG4,Foreign_Exchange Forward AUD GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ6L24VNZFT6,Foreign_Exchange Forward AUD NZD 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ6QHSN86LP4,Foreign_Exchange Forward NZD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ6TJHQW0KB5,Foreign_Exchange Forward EUR NOK 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ6TNSPF58V0,Foreign_Exchange Forward RON USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ7022XJQ8M9,Foreign_Exchange Forward GBP MXN 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ77K686BWC8,Foreign_Exchange Forward EUR RON 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ7GKF94PF44,Foreign_Exchange Forward HKD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ7HVP8T5CV2,Foreign_Exchange Forward CHF EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ7JMG074R32,Foreign_Exchange Forward CNY JPY 20210116,JFTXFP,FALSE,CNY,2138004TYNQCB7MLTG76
EZ7K7S45JDG6,Foreign_Exchange Forward JPY ZAR 20210116,JFTXFP,FALSE,ZAR,2138004TYNQCB7MLTG76
EZ7M8KWVDJZ2,Foreign_Exchange Forward AED EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ7YHLDYBSC2,Foreign_Exchange Forward CHF SEK 20210116,JFTXFP,FALSE,CHF,2138004TYNQCB7MLTG76
EZ82GSNDYNM2,Foreign_Exchange Forward TRY USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ8712X8L8Z6,Foreign_Exchange Forward MXN USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ8D7V9251B1,Foreign_Exchange Forward GBP NOK 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ8QDT6LST56,Foreign_Exchange Forward EUR SEK 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ8SDH1J0JJ2,Foreign_Exchange Forward KWD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZ8SYCS33LV4,Foreign_Exchange Forward AED SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ8T49Z7CKS7,Foreign_Exchange Forward GBP OMR 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ8V2TPFZNH4,Foreign_Exchange Forward NZD USD 20210116,JFTXFP,FALSE,NZD,2138004TYNQCB7MLTG76
EZ93FLFGT1Q4,Foreign_Exchange Forward CAD EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ96HBD2YGP9,Foreign_Exchange Forward CZK SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ99M83JQPW4,Foreign_Exchange Forward EUR ILS 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZ9B3FM231H0,Foreign_Exchange Forward BHD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZ9B3S467791,Foreign_Exchange Forward AUD HKD 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ9C8YX0GQR6,Foreign_Exchange Forward AUD CAD 20210116,JFTXFP,FALSE,AUD,2138004TYNQCB7MLTG76
EZ9CJN4P2SC0,Foreign_Exchange Forward CNY RUB 20210116,JFTXFP,FALSE,CNY,2138004TYNQCB7MLTG76
EZ9FKSPQG1V1,Foreign_Exchange Forward DKK GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ9GR74LDCP9,Foreign_Exchange Forward CHF GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZ9JKR0JKVP2,Foreign_Exchange Forward NOK USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
,,,,,
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,FALSE,CHF,529900P0204W9HA8JP36
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,FALSE,CHF,529900P0204W9HA8JP36
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,FALSE,CHF,529900P0204W9HA8JP36
EZB1L2322Q39,Foreign_Exchange Forward CAD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZB2Z368BBT5,Foreign_Exchange Forward CZK USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZB4WK2Q31N6,Foreign_Exchange Forward PLN USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZBBCK8XHXM2,Foreign_Exchange Forward EUR HKD 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZBJ413T2LF2,Foreign_Exchange Forward QAR USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZBJMLQNZMD4,Foreign_Exchange Forward ILS USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZBMQLTVLY87,Foreign_Exchange Forward QAR SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZBV01NJMP58,Foreign_Exchange Forward HKD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZDFN2LQV8G5,Foreign_Exchange Forward PLN SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZKMWXD4FSV7,Foreign_Exchange Forward EUR QAR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZLFRQ87VTG6,Foreign_Exchange Swap EUR USD 20210116,SFCXXP,FALSE,EUR,O2RNE8IBXP4R0TD8PU41
EZNQW6NTMSW4,Foreign_Exchange Forward HUF USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZPCT5XKW990,Foreign_Exchange Forward CZK EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZPCT5XKW990,Foreign_Exchange Forward CZK EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZPDDKZ8YMV0,Foreign_Exchange Forward SEK ZAR 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZT9F67SNFM3,EUR SWAP EONIA 3MO,SRHCSP,FALSE,EUR,254900QBKK4WBSO3GE51
EZV15GHWGFH1,Foreign_Exchange Forward GBP RON 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
